username,format,matches_played,matches_won,total_runs,highest_score,avg_runs,avg_strike_rate,fours,sixes,fifties,hundreds,wickets_taken,best_bowling,bowling_average,tournaments_played,tournaments_won,potm_count,player_of_tournament_count
AniketKS,1v1,16,7,270,55,16.88,321.43,9,12,1,0,16,3/11,15.62,0,0,7,0
AniketKS,tournament,380,188,5724,67,15.1,340.11,252,345,14,0,258,2/44,18.93,80,11,199,11
AniketKS,team,9,2,127,28,14.11,309.76,11,6,0,0,5,2/50,23.0,0,0,2,0
AniketKS,cpu,35,20,627,113,17.91,342.62,20,48,1,1,36,2/0,16.69,0,0,19,0
Yash,1v1,2,1,109,77,54.5,340.62,5,8,1,0,5,3/5,7.8,0,0,1,0
Yash,tournament,286,148,3863,61,13.55,317.16,214,170,9,0,224,1/0,16.04,54,6,151,7
Yash,team,13,9,198,47,18.0,319.35,11,15,0,0,12,2/6,16.75,0,0,5,0
Yash,cpu,3,3,79,68,26.33,376.19,3,4,1,0,5,3/34,8.0,0,0,3,0
Atharva,1v1,38,24,430,59,11.32,344.0,18,25,1,0,32,2/5,11.03,0,0,25,0
Atharva,tournament,415,222,5346,64,12.88,355.93,292,312,14,0,334,2/9,18.96,87,16,220,12
Atharva,team,19,9,356,68,20.94,378.72,15,29,3,0,27,4/38,10.85,0,0,8,0
Atharva,cpu,61,29,929,66,15.23,371.6,44,72,3,0,49,3/21,19.69,0,0,32,0
hetvig04,1v1,0,0,0,0,0.0,0.0,0,0,0,0,0,0/0,0.0,0,0,0,0
hetvig04,tournament,68,39,1027,57,15.1,328.12,41,70,3,0,49,1/0,18.57,13,4,39,1
hetvig04,team,1,0,0,0,0.0,0.0,0,0,0,0,0,0/0,0.0,0,0,0,0
hetvig04,cpu,0,0,0,0,0.0,0.0,0,0,0,0,0,0/0,0.0,0,0,0,0
Meet,1v1,3,2,58,34,19.33,305.26,8,0,0,0,7,3/32,18.0,0,0,2,0
Meet,tournament,295,139,3829,60,12.98,356.52,207,210,8,0,225,1/0,20.78,61,6,142,4
Meet,team,7,3,171,66,28.5,388.64,9,14,1,0,7,3/44,27.43,0,0,1,0
Meet,cpu,2,1,5,5,2.5,250.0,0,0,0,0,2,1/0,18.0,0,0,1,0
Atharva Kolekar,1v1,2,1,24,19,12.0,342.86,0,2,0,0,1,1/0,23.0,0,0,1,0
Atharva Kolekar,tournament,141,65,2203,55,15.62,331.28,91,136,7,0,86,1/0,21.19,25,4,66,3
Atharva Kolekar,team,0,0,0,0,0.0,0.0,0,0,0,0,0,0/0,0.0,0,0,0,0
Atharva Kolekar,cpu,0,0,0,0,0.0,0.0,0,0,0,0,0,0/0,0.0,0,0,0,0
Sahil,1v1,12,3,201,46,16.75,283.1,8,10,0,0,13,3/55,21.23,0,0,3,0
Sahil,tournament,318,138,4398,59,13.92,327.96,239,208,11,0,215,1/0,22.6,70,2,141,8
Sahil,team,15,9,227,65,18.92,306.76,8,14,1,0,11,2/8,21.18,0,0,0,0
Sahil,cpu,4,1,80,30,20.0,333.33,5,4,0,0,4,2/20,22.25,0,0,1,0
Lauda,1v1,0,0,0,0,0.0,0.0,0,0,0,0,0,0/0,0.0,0,0,0,0
Lauda,tournament,4,1,58,29,14.5,305.26,2,2,0,0,2,1/24,44.0,1,0,1,0
Lauda,team,0,0,0,0,0.0,0.0,0,0,0,0,0,0/0,0.0,0,0,0,0
Lauda,cpu,0,0,0,0,0.0,0.0,0,0,0,0,0,0/0,0.0,0,0,0,0
Jaay,1v1,12,4,86,18,7.17,286.67,3,8,0,0,7,1/0,15.71,0,0,4,0
Jaay,tournament,42,20,612,55,14.57,353.76,29,47,1,0,35,2/31,19.74,11,1,20,1
